,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
1890,1713455740.031304,1713455740.0320117,1713455739.9358702,0.001,"{('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 21, 0, 0, 0): 1}",1,1000.0,tcp://10.201.0.212:45449,outgoing_transfer,tcp://10.201.0.229:44955,1713455739.9401524,347.0
1891,1713455739.6640418,1713455739.727047,1713455739.6955445,0.06300520896911621,"{('array-8838909ee9756e34565341881e2e6f0c', 38): 336}",336,5332.892398860226,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:44955,1713455739.9547327,
1892,1713455738.2665794,1713455738.2718809,1713455738.0760145,0.005301475524902344,"{('getitem-57e82c1c1880592f4237f1edccd30fa9', 0): 0}",0,0.0,tcp://10.201.0.229:44955,outgoing_transfer,tcp://10.201.0.212:45449,1713455739.9584637,342.0
1893,1713455740.029003,1713455740.0463476,1713455740.0376751,0.01734471321105957,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 39, 0, 0, 0): 3324}",3324,191643.41085100826,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.229:44955,1713455739.9547362,
1894,1713455740.0775418,1713455740.099327,1713455739.94462,0.021785259246826172,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 39, 0, 0, 0): 3324}",3324,152580.23612843917,tcp://10.201.0.229:44955,outgoing_transfer,tcp://10.201.0.212:45449,1713455739.9584675,621.0
1895,1713455739.8117394,1713455739.8582306,1713455739.834985,0.046491146087646484,"{('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 123, 0, 0, 0): 1}",1,21.509471892019405,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:41793,1713455739.980139,
1896,1713455740.029003,1713455740.0463476,1713455740.0376751,0.01734471321105957,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 39, 0, 0, 0): 3324}",3324,191643.41085100826,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.229:44955,1713455739.98307,
1897,1713455740.0387168,1713455740.06791,1713455740.0533133,0.02919316291809082,"{('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 121, 0, 0, 0): 1}",1,34.25459594103475,tcp://10.201.0.229:44955,incoming_transfer,tcp://10.201.0.229:41793,1713455739.9801433,
1898,1713455740.0733645,1713455740.0756774,1713455740.0745208,0.002312898635864258,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 36, 0, 0, 0): 3324}",3324,1437157.6637460056,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.229:44955,1713455739.9830742,
1899,1713455740.0387168,1713455740.06791,1713455740.0533133,0.02919316291809082,"{('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 121, 0, 0, 0): 1}",1,34.25459594103475,tcp://10.201.0.229:44955,incoming_transfer,tcp://10.201.0.229:41793,1713455740.0058734,
1900,1713455739.412127,1713455739.4127896,1713455739.3412604,0.001,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 30, 0, 0, 0): 1}",1,1000.0,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.212:38553,1713455740.0059123,347.0
1901,1713455739.6564536,1713455739.6588345,1713455739.5838137,0.002380847930908203,"{('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 54, 0, 0, 0): 1}",1,420.01842579611457,tcp://10.201.0.229:44955,outgoing_transfer,tcp://10.201.0.212:38577,1713455740.0059376,339.0
1902,1713455740.0883384,1713455740.0919275,1713455740.090133,0.003589153289794922,"{('chunk_max-f51ddbdd2414581636b6798cd76ef954', 121, 0, 0, 0): 1}",1,278.6172445861565,tcp://10.201.0.229:44955,incoming_transfer,tcp://10.201.0.229:41793,1713455740.0058763,
1903,1713455739.8561084,1713455739.8576694,1713455739.7856913,0.0015609264373779297,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 37, 0, 0, 0): 1}",1,640.6451809989308,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.212:38553,1713455740.0059175,347.0
1904,1713455739.8026898,1713455739.8045664,1713455739.7297978,0.0018765926361083984,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 43, 0, 0, 0): 3324}",3324,1771295.4511497903,tcp://10.201.0.212:38553,outgoing_transfer,tcp://10.201.0.212:38577,1713455740.0059433,621.0
1905,1713455739.887721,1713455739.913995,1713455739.8296604,0.02627396583557129,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 37, 0, 0, 0): 1, ('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 33, 0, 0, 0): 1}",2,76.12097893848514,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.212:38553,1713455740.0059235,653.0
